LST,Total,LP,Band8,Band9/10
0,13.6,6.8,0.8,1.0
1,13.0,6.5,0.3,0.4
2,9.9,5.0,0.0,0.0
3,8.4,4.2,0.0,0.0
4,8.4,4.2,0.0,0.0
5,9.4,4.7,0.0,0.0
6,12.0,6.0,0.0,0.0
7,14.8,7.4,0.0,0.0
8,17.7,8.9,0.0,0.0
9,20.0,10.0,0.1,0.0
10,20.2,10.1,0.4,0.1
11,19.5,9.8,0.9,0.1
12,19.5,9.8,1.0,0.2
13,19.3,9.7,1.2,0.2
14,19.5,9.8,1.3,1.4
15,19.5,9.8,1.4,1.6
16,19.3,9.7,1.5,1.7
17,19.5,9.8,1.6,1.8
18,19.3,9.7,1.6,1.8
19,19.5,9.8,1.7,1.8
20,19.3,9.7,1.7,1.9
21,18.5,9.3,1.7,2.0
22,15.8,7.9,1.5,1.8
23,13.8,6.9,1.2,1.6
