LST,Total,LP,Band8,Band9/10
0,26.0,8.7,2.4,1.0
1,26.0,8.7,2.4,1.0
2,25.8,8.6,2.4,1.0
3,23.7,7.9,4.1,1.3
4,22.6,7.5,4.0,1.3
5,21.6,7.2,3.8,1.2
6,19.2,6.4,2.2,0.8
7,16.2,5.4,1.8,0.6
8,14.9,5.0,0.6,0.2
9,14.3,4.8,0.0,0.0
10,12.0,4.0,0.0,0.0
11,13.3,4.4,0.0,0.0
12,14.5,4.8,0.0,0.0
13,17.5,5.8,0.0,0.0
14,21.8,7.3,0.0,0.0
15,23.1,7.7,0.6,0.2
16,25.2,8.4,0.9,0.4
17,26.5,8.8,1.3,0.5
18,26.2,8.7,1.9,0.6
19,25.8,8.6,2.1,0.7
20,26.0,8.7,2.2,0.8
21,26.0,8.7,2.3,0.9
22,25.8,8.6,2.3,1.0
23,25.8,8.6,2.4,1.0
