LST,Total,LP,Band8,Band9/10
0,27.1,13.6,3.1,1.0
1,26.8,13.4,3.2,1.0
2,23.7,11.9,3.0,0.9
3,23.4,11.7,4.2,1.2
4,23.4,11.7,3.9,1.2
5,22.4,11.2,2.7,0.8
6,19.7,9.8,2.4,0.7
7,17.2,8.6,2.0,0.6
8,15.6,7.8,1.7,0.5
9,16.1,8.0,0.6,0.2
10,18.5,9.3,0.0,0.0
11,18.0,9.0,0.0,0.0
12,18.9,9.4,0.0,0.0
13,20.0,10.0,0.3,0.1
14,20.0,10.0,1.0,0.4
15,21.6,10.8,1.3,0.4
16,23.6,11.8,1.3,0.4
17,25.5,12.8,1.4,0.5
18,27.6,13.8,1.5,0.5
19,27.8,13.9,1.9,0.6
20,27.3,13.7,2.2,0.7
21,27.1,13.6,2.4,0.7
22,27.3,13.7,2.7,0.8
23,27.3,13.7,2.9,0.9
