LST,Total,LP,Band8,Band9/10
0,24.5,12.3,1.0,0.3
1,25.5,12.8,1.1,0.3
2,25.4,12.7,1.2,0.3
3,25.1,12.5,2.1,0.8
4,25.1,12.5,2.3,0.8
5,25.0,12.5,2.5,0.9
6,25.1,12.5,2.7,0.9
7,24.9,12.5,2.8,1.0
8,24.1,12.0,2.8,1.0
9,21.6,10.8,2.4,0.8
10,21.7,10.8,1.3,0.5
11,21.5,10.8,0.7,0.2
12,20.0,10.0,0.8,0.3
13,17.4,8.7,0.7,0.2
14,14.7,7.4,0.3,0.1
15,14.0,7.0,0.1,0.0
16,15.2,7.6,0.0,0.0
17,16.7,8.3,0.0,0.0
18,16.2,8.1,0.0,0.0
19,18.0,9.0,0.0,0.0
20,18.8,9.4,0.2,0.0
21,18.7,9.4,0.6,0.1
22,20.6,10.3,0.7,0.1
23,22.3,11.2,0.9,0.2
