LST,Total,LP,Band8,Band9/10
0,14.1,7.0,0.0,0.0
1,15.8,7.9,0.0,0.0
2,18.8,9.4,0.0,0.0
3,20.9,10.4,0.0,0.0
4,21.7,10.9,0.0,0.0
5,23.8,11.9,0.1,0.0
6,24.2,12.1,0.2,0.0
7,23.8,11.9,0.4,0.1
8,23.8,11.9,0.6,0.1
9,23.8,11.9,0.7,0.1
10,23.8,11.9,0.9,0.2
11,23.6,11.8,1.0,0.2
12,23.6,11.8,1.1,0.2
13,23.8,11.9,1.2,0.3
14,23.6,11.8,1.1,0.3
15,21.7,10.9,1.0,0.3
16,20.3,10.1,0.9,0.3
17,20.2,10.1,0.8,0.2
18,18.7,9.4,0.7,0.2
19,15.2,7.6,0.6,0.1
20,13.9,7.0,0.4,0.1
21,13.8,6.9,0.0,0.0
22,12.5,6.2,0.0,0.0
23,12.5,6.2,0.0,0.0
