LST,Total,LP,Band8,Band9/10
0,13.6,6.8,0.9,0.3
1,13.4,6.7,1.4,0.4
2,13.6,6.8,1.9,0.6
3,13.6,6.8,3.5,1.5
4,13.6,6.8,4.0,1.7
5,13.6,6.8,4.3,2.1
6,13.4,6.7,4.7,2.3
7,13.6,6.8,5.0,2.7
8,13.6,6.8,5.3,2.9
9,13.6,6.8,5.5,3.1
10,13.3,6.6,5.4,3.1
11,11.0,5.5,4.5,2.6
12,9.5,4.8,2.1,1.2
13,9.5,4.8,0.1,0.0
14,9.3,4.7,0.0,0.0
15,7.0,3.5,0.0,0.0
16,6.1,3.1,0.0,0.0
17,6.1,3.1,0.0,0.0
18,6.3,3.1,0.0,0.0
19,8.7,4.3,0.0,0.0
20,10.4,5.2,0.0,0.0
21,12.4,6.2,0.0,0.0
22,13.8,6.9,0.1,0.0
23,14.3,7.1,0.5,0.1
