# Thu Jan  4 11:05:51 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     27.1     13.6      8.3      4.4
     1     26.8     13.4      8.7      4.6
     2     23.7     11.9      8.1      4.1
     3     23.4     11.7      8.1      4.1
     4     23.4     11.7      7.5      3.9
     5     22.4     11.2      5.3      2.6
     6     19.7      9.8      4.7      2.4
     7     17.2      8.6      3.9      2.0
     8     15.6      7.8      3.3      1.6
     9     16.1      8.0      1.2      0.6
    10     18.5      9.3      0.0      0.0
    11     18.0      9.0      0.0      0.0
    12     18.9      9.4      0.0      0.0
    13     20.0     10.0      0.6      0.3
    14     20.0     10.0      2.8      1.7
    15     21.6     10.8      3.4      2.0
    16     23.6     11.8      3.5      2.0
    17     25.5     12.8      3.7      2.1
    18     27.6     13.8      4.0      2.3
    19     27.8     13.9      5.2      2.7
    20     27.3     13.7      6.0      3.1
    21     27.1     13.6      6.6      3.4
    22     27.3     13.7      7.3      3.8
    23     27.3     13.7      7.8      4.2
