# Thu Jan  4 10:58:13 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     16.4      8.2      5.2      2.6
     1     14.5      7.2      4.7      2.5
     2     14.1      7.1      3.6      1.9
     3     13.3      6.7      1.0      0.5
     4     10.4      5.2      0.1      0.0
     5      8.4      4.2      0.0      0.0
     6      8.4      4.2      0.0      0.0
     7      9.3      4.6      0.0      0.0
     8     12.0      6.0      0.0      0.0
     9     14.9      7.5      0.0      0.0
    10     17.9      8.9      0.0      0.0
    11     20.6     10.3      0.6      0.2
    12     20.8     10.4      2.7      1.1
    13     20.3     10.2      4.3      2.0
    14     20.2     10.1      4.5      2.2
    15     20.0     10.0      4.6      2.3
    16     20.2     10.1      4.8      2.4
    17     20.2     10.1      4.9      2.4
    18     20.2     10.1      5.1      2.5
    19     20.0     10.0      5.2      2.5
    20     20.2     10.1      5.3      2.6
    21     20.2     10.1      5.5      2.7
    22     20.2     10.1      5.7      2.8
    23     19.2      9.6      5.7      2.9
