# Thu Jan  4 10:29:45 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     24.5     12.3      3.8      1.7
     1     25.5     12.8      4.1      2.0
     2     25.4     12.7      4.4      2.2
     3     25.1     12.5      4.8      2.5
     4     25.1     12.5      5.2      2.7
     5     25.0     12.5      5.6      2.9
     6     25.1     12.5      6.0      3.1
     7     24.9     12.5      6.3      3.3
     8     24.1     12.0      6.2      3.2
     9     21.6     10.8      5.3      2.7
    10     21.7     10.8      3.0      1.5
    11     21.5     10.8      1.6      0.8
    12     20.0     10.0      1.7      0.9
    13     17.4      8.7      1.6      0.8
    14     14.7      7.4      1.2      0.6
    15     14.0      7.0      0.5      0.2
    16     15.2      7.6      0.0      0.0
    17     16.7      8.3      0.0      0.0
    18     16.2      8.1      0.0      0.0
    19     18.0      9.0      0.0      0.0
    20     18.8      9.4      0.7      0.2
    21     18.7      9.4      2.0      0.7
    22     20.6     10.3      2.6      1.0
    23     22.3     11.2      3.3      1.4
