# Thu Jan  4 10:36:03 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     14.1      7.0      0.0      0.0
     1     15.8      7.9      0.0      0.0
     2     18.8      9.4      0.0      0.0
     3     20.9     10.4      0.0      0.0
     4     21.7     10.9      0.1      0.0
     5     23.8     11.9      0.2      0.1
     6     24.2     12.1      0.5      0.2
     7     23.8     11.9      0.8      0.3
     8     23.8     11.9      1.2      0.5
     9     23.8     11.9      1.5      0.7
    10     23.8     11.9      1.9      1.0
    11     23.6     11.8      2.2      1.1
    12     23.6     11.8      2.4      1.3
    13     23.8     11.9      2.5      1.5
    14     23.6     11.8      2.6      1.6
    15     21.7     10.9      2.4      1.5
    16     20.3     10.1      2.3      1.4
    17     20.2     10.1      1.9      1.2
    18     18.7      9.4      1.7      1.0
    19     15.2      7.6      1.4      0.8
    20     13.9      7.0      1.0      0.5
    21     13.8      6.9      0.1      0.1
    22     12.5      6.2      0.0      0.0
    23     12.5      6.2      0.0      0.0
