# Thu Jan  4 10:19:46 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     13.6      6.8      1.6      0.6
     1     13.4      6.7      2.4      1.0
     2     13.6      6.8      3.2      1.5
     3     13.6      6.8      3.9      1.8
     4     13.6      6.8      4.4      2.1
     5     13.6      6.8      4.8      2.5
     6     13.4      6.7      5.2      2.8
     7     13.6      6.8      5.6      3.2
     8     13.6      6.8      5.9      3.5
     9     13.6      6.8      6.1      3.8
    10     13.3      6.6      6.0      3.8
    11     11.0      5.5      5.0      3.1
    12      9.5      4.8      2.3      1.4
    13      9.5      4.8      0.1      0.0
    14      9.3      4.7      0.0      0.0
    15      7.0      3.5      0.0      0.0
    16      6.1      3.1      0.0      0.0
    17      6.1      3.1      0.0      0.0
    18      6.3      3.1      0.0      0.0
    19      8.7      4.3      0.0      0.0
    20     10.4      5.2      0.0      0.0
    21     12.4      6.2      0.0      0.0
    22     13.8      6.9      0.1      0.0
    23     14.3      7.1      0.8      0.3
