# Thu Jan  4 11:16:42 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     13.6      4.5      5.6      3.2
     1     13.5      4.5      5.6      3.2
     2     13.6      4.5      5.7      3.3
     3     13.5      4.5      5.7      3.3
     4     11.9      4.0      5.1      3.1
     5      9.9      3.3      4.2      2.6
     6      9.7      3.2      3.9      2.5
     7      9.7      3.2      1.4      1.0
     8      8.1      2.7      0.0      0.0
     9      6.0      2.0      0.0      0.0
    10      5.8      1.9      0.0      0.0
    11      5.7      1.9      0.0      0.0
    12      7.5      2.5      0.0      0.0
    13      9.6      3.2      0.0      0.0
    14     11.4      3.8      0.0      0.0
    15     13.6      4.5      0.0      0.0
    16     14.1      4.7      1.8      0.8
    17     13.8      4.6      4.0      2.0
    18     13.6      4.5      4.4      2.3
    19     13.6      4.5      4.7      2.6
    20     13.5      4.5      5.0      2.9
    21     13.6      4.5      5.2      3.1
    22     13.6      4.5      5.3      3.2
    23     13.6      4.5      5.5      3.2
