# Thu Jan  4 10:24:28 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     28.4     14.2      3.7      1.3
     1     28.1     14.0      4.8      1.7
     2     27.9     13.9      5.7      2.1
     3     27.7     13.9      6.4      2.4
     4     27.7     13.9      6.9      2.7
     5     27.9     13.9      7.5      3.2
     6     27.9     13.9      8.0      3.7
     7     27.9     13.9      8.6      4.3
     8     27.5     13.8      8.9      4.8
     9     26.9     13.4      8.9      4.9
    10     24.3     12.2      7.9      4.3
    11     23.8     11.9      5.3      2.9
    12     21.9     11.0      2.5      1.3
    13     19.2      9.6      1.4      0.7
    14     16.3      8.2      0.1      0.0
    15     15.6      7.8      0.0      0.0
    16     13.9      7.0      0.0      0.0
    17     12.4      6.2      0.0      0.0
    18     15.1      7.6      0.0      0.0
    19     16.1      8.1      0.0      0.0
    20     20.4     10.2      0.0      0.0
    21     24.1     12.1      0.4      0.1
    22     26.0     13.0      1.6      0.4
    23     27.7     13.9      2.6      0.8
