# Thu Jan  4 11:12:55 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     26.0      8.7     10.0      6.0
     1     26.0      8.7     10.0      6.1
     2     25.8      8.6     10.1      6.1
     3     23.7      7.9      9.6      5.7
     4     22.6      7.5      9.4      5.7
     5     21.6      7.2      8.9      5.4
     6     19.2      6.4      5.3      3.3
     7     16.2      5.4      4.2      2.7
     8     14.9      5.0      1.4      0.9
     9     14.3      4.8      0.0      0.0
    10     12.0      4.0      0.0      0.0
    11     13.3      4.4      0.0      0.0
    12     14.5      4.8      0.0      0.0
    13     17.5      5.8      0.0      0.0
    14     21.8      7.3      0.2      0.1
    15     23.1      7.7      2.4      1.3
    16     25.2      8.4      3.7      2.1
    17     26.5      8.8      5.2      2.8
    18     26.2      8.7      7.7      3.8
    19     25.8      8.6      8.6      4.4
    20     26.0      8.7      9.2      5.0
    21     26.0      8.7      9.5      5.4
    22     25.8      8.6      9.7      5.7
    23     25.8      8.6      9.8      5.9
