# Fri Dec 13 15:09:59 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0      7.1      3.6      0.0      0.0
     1      7.0      3.5      0.0      0.0
     2      8.8      4.4      0.0      0.0
     3     11.2      5.6      0.0      0.0
     4     13.2      6.6      0.0      0.0
     5     15.6      7.8      0.0      0.0
     6     16.9      8.4      0.1      0.0
     7     16.6      8.3      0.4      0.2
     8     16.2      8.1      0.6      0.3
     9     16.1      8.0      0.9      0.4
    10     16.2      8.1      1.3      0.6
    11     16.2      8.1      1.5      0.7
    12     16.2      8.1      1.8      0.8
    13     16.2      8.1      2.0      1.0
    14     16.1      8.0      2.2      1.2
    15     16.2      8.1      2.4      1.4
    16     16.2      8.1      2.7      1.5
    17     16.2      8.1      2.9      1.6
    18     14.5      7.2      2.7      1.4
    19     12.0      6.0      2.2      1.2
    20     11.7      5.8      1.8      0.8
    21     11.7      5.8      0.5      0.2
    22     10.2      5.1      0.0      0.0
    23      7.6      3.8      0.0      0.0
