# Fri Dec 13 15:13:22 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0      8.8      4.4      0.0      0.0
     1      6.5      3.2      0.0      0.0
     2      6.3      3.2      0.0      0.0
     3      6.8      3.4      0.0      0.0
     4      9.4      4.7      0.0      0.0
     5     11.7      5.8      0.0      0.0
     6     14.0      7.0      0.0      0.0
     7     16.4      8.2      0.0      0.0
     8     16.9      8.4      0.6      0.1
     9     16.4      8.2      1.4      0.4
    10     16.2      8.1      1.8      0.7
    11     16.1      8.0      2.1      0.9
    12     16.2      8.1      2.4      1.2
    13     16.1      8.0      2.7      1.4
    14     16.2      8.1      3.0      1.5
    15     16.2      8.1      3.3      1.7
    16     16.1      8.0      3.6      1.7
    17     16.1      8.0      3.8      1.8
    18     16.2      8.1      4.1      1.9
    19     15.9      8.0      4.1      1.9
    20     13.3      6.7      3.5      1.6
    21     11.2      5.6      2.9      1.3
    22     10.9      5.4      2.0      1.0
    23     10.9      5.4      0.5      0.2
