# Fri Dec 13 15:47:28 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     36.4     18.2      9.3      5.7
     1     35.8     17.9     10.0      6.1
     2     33.3     16.7     10.2      6.0
     3     30.7     15.4     10.2      5.9
     4     29.9     15.0     10.2      5.8
     5     29.4     14.7      8.4      4.6
     6     26.7     13.3      5.8      3.1
     7     23.9     11.9      5.6      3.1
     8     23.4     11.7      5.9      3.4
     9     23.6     11.8      6.0      3.7
    10     26.3     13.2      6.2      3.9
    11     27.1     13.6      5.1      3.2
    12     28.9     14.5      2.6      1.6
    13     32.3     16.2      0.5      0.2
    14     32.8     16.4      2.6      1.6
    15     30.7     15.4      5.2      3.1
    16     28.4     14.2      6.3      3.7
    17     28.6     14.3      6.8      4.0
    18     28.4     14.2      7.1      4.1
    19     30.7     15.4      7.5      4.3
    20     32.5     16.3      7.6      4.5
    21     34.8     17.4      7.7      4.7
    22     36.4     18.2      7.7      4.8
    23     36.9     18.4      8.4      5.3
