# Fri Dec 13 15:31:10 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     35.4     17.7      9.0      5.3
     1     36.7     18.3      8.7      5.1
     2     36.0     18.0      6.7      3.9
     3     33.8     16.9      6.5      3.8
     4     32.4     16.2      6.9      4.1
     5     31.4     15.7      6.8      4.0
     6     29.1     14.6      5.9      3.5
     7     31.2     15.6      5.7      3.4
     8     32.4     16.2      2.8      1.5
     9     33.5     16.7      1.3      0.6
    10     32.4     16.2      1.6      0.8
    11     32.4     16.2      3.2      1.5
    12     31.4     15.7      4.0      2.0
    13     32.0     16.0      4.2      2.1
    14     32.2     16.1      4.0      2.1
    15     33.4     16.7      3.7      1.9
    16     36.4     18.2      3.3      1.7
    17     36.6     18.3      4.9      2.4
    18     34.9     17.4      7.4      3.5
    19     33.6     16.8      8.2      4.1
    20     33.6     16.8      8.8      4.7
    21     33.8     16.9      9.2      5.1
    22     35.7     17.8      9.6      5.5
    23     34.3     17.2      9.1      5.3
