# Fri Dec 13 15:52:53 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     12.3      6.2      3.6      1.6
     1     12.3      6.2      3.9      1.9
     2     12.3      6.2      4.2      2.1
     3     12.3      6.2      4.4      2.3
     4     12.2      6.1      4.5      2.3
     5     12.3      6.2      4.7      2.5
     6     12.3      6.2      4.8      2.6
     7     12.3      6.2      5.0      2.7
     8     10.9      5.4      4.5      2.4
     9      8.6      4.3      3.6      1.9
    10      8.3      4.1      1.5      0.7
    11      8.4      4.2      0.0      0.0
    12      7.5      3.7      0.0      0.0
    13      5.4      2.7      0.0      0.0
    14      5.2      2.6      0.0      0.0
    15      5.0      2.5      0.0      0.0
    16      6.7      3.3      0.0      0.0
    17      8.9      4.5      0.0      0.0
    18     10.1      5.0      0.0      0.0
    19     12.0      6.0      0.0      0.0
    20     13.0      6.5      0.7      0.2
    21     12.5      6.3      1.8      0.7
    22     12.3      6.2      2.5      1.0
    23     12.2      6.1      3.0      1.3
