# Fri Dec 13 15:50:21 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     13.6      6.8      3.3      1.2
     1     13.5      6.7      4.1      1.6
     2     13.6      6.8      4.7      1.9
     3     13.6      6.8      5.1      2.0
     4     13.6      6.8      5.3      2.3
     5     13.6      6.8      5.5      2.6
     6     13.5      6.7      5.7      2.8
     7     13.6      6.8      5.9      3.2
     8     13.5      6.7      6.0      3.4
     9     13.2      6.6      5.9      3.5
    10     10.7      5.4      4.8      2.9
    11      9.7      4.9      1.9      1.2
    12      9.6      4.8      0.0      0.0
    13      8.9      4.5      0.0      0.0
    14      6.3      3.2      0.0      0.0
    15      5.8      2.9      0.0      0.0
    16      5.7      2.8      0.0      0.0
    17      6.3      3.2      0.0      0.0
    18      8.8      4.4      0.0      0.0
    19     10.6      5.3      0.0      0.0
    20     13.2      6.6      0.0      0.0
    21     14.0      7.0      0.3      0.1
    22     14.1      7.1      1.5      0.4
    23     13.6      6.8      2.4      0.8
